_time,_value,_measurement,sensor_name
2023-11-08 12:32:02.774373+01:00,0.0,PC,cpu0
2023-11-08 12:32:08.775602+01:00,3.1,PC,cpu0
2023-11-08 12:32:14.776492+01:00,0.0,PC,cpu0
2023-11-08 12:32:20.778604+01:00,0.0,PC,cpu0
2023-11-08 12:32:26.779834+01:00,0.0,PC,cpu0
2023-11-08 12:32:32.782981+01:00,0.0,PC,cpu0
2023-11-08 12:32:38.782121+01:00,0.0,PC,cpu0
2023-11-08 12:32:44.783112+01:00,0.0,PC,cpu0
2023-11-08 12:32:50.784477+01:00,0.0,PC,cpu0
2023-11-08 12:32:56.785849+01:00,0.0,PC,cpu0
2023-11-08 12:33:02.787651+01:00,0.0,PC,cpu0
2023-11-08 12:33:08.788633+01:00,0.0,PC,cpu0
2023-11-08 12:33:14.789510+01:00,0.0,PC,cpu0
2023-11-08 12:33:20.790534+01:00,0.0,PC,cpu0
2023-11-08 12:33:26.792076+01:00,0.0,PC,cpu0
2023-11-08 12:33:32.794496+01:00,0.0,PC,cpu0
2023-11-08 12:33:38.794841+01:00,0.0,PC,cpu0
2023-11-08 12:33:44.795939+01:00,1.6,PC,cpu0
2023-11-08 12:33:50.797883+01:00,1.5,PC,cpu0
2023-11-08 12:33:56.798414+01:00,0.0,PC,cpu0
2023-11-08 12:34:02.799614+01:00,1.6,PC,cpu0
2023-11-08 12:34:08.801205+01:00,0.0,PC,cpu0
2023-11-08 12:34:14.803107+01:00,1.6,PC,cpu0
2023-11-08 12:34:20.804027+01:00,0.0,PC,cpu0
2023-11-08 12:34:26.805995+01:00,0.0,PC,cpu0
2023-11-08 12:34:32.807370+01:00,0.0,PC,cpu0
2023-11-08 12:34:38.811221+01:00,0.0,PC,cpu0
2023-11-08 12:34:44.814713+01:00,0.0,PC,cpu0
2023-11-08 12:34:50.817306+01:00,0.0,PC,cpu0
2023-11-08 12:34:56.816916+01:00,0.0,PC,cpu0
2023-11-08 12:35:02.818083+01:00,0.0,PC,cpu0
2023-11-08 12:35:08.821126+01:00,0.0,PC,cpu0
2023-11-08 12:35:14.822298+01:00,3.1,PC,cpu0
2023-11-08 12:35:20.822468+01:00,0.0,PC,cpu0
2023-11-08 12:35:26.824006+01:00,0.0,PC,cpu0
2023-11-08 12:35:32.825798+01:00,1.6,PC,cpu0
2023-11-08 12:35:38.825750+01:00,0.0,PC,cpu0
2023-11-08 12:35:44.826706+01:00,0.0,PC,cpu0
2023-11-08 12:35:50.828154+01:00,0.0,PC,cpu0
2023-11-08 12:35:56.828928+01:00,1.6,PC,cpu0
2023-11-08 12:36:02.830256+01:00,0.0,PC,cpu0
2023-11-08 12:36:08.823510+01:00,1.6,PC,cpu0
2023-11-08 12:36:14.824725+01:00,17.2,PC,cpu0
2023-11-08 12:36:20.825230+01:00,0.0,PC,cpu0
2023-11-08 12:36:26.825873+01:00,1.6,PC,cpu0
2023-11-08 12:36:32.826899+01:00,0.0,PC,cpu0
2023-11-08 12:36:38.837316+01:00,0.0,PC,cpu0
2023-11-08 12:36:44.839341+01:00,3.1,PC,cpu0
2023-11-08 12:36:50.845295+01:00,0.0,PC,cpu0
2023-11-08 12:36:56.844820+01:00,0.0,PC,cpu0
2023-11-08 12:37:02.846012+01:00,3.1,PC,cpu0
2023-11-08 12:37:08.846580+01:00,0.0,PC,cpu0
2023-11-08 12:37:14.847949+01:00,0.0,PC,cpu0
2023-11-08 12:37:20.849390+01:00,1.6,PC,cpu0
2023-11-08 12:37:26.850701+01:00,1.6,PC,cpu0
2023-11-08 12:37:32.852517+01:00,0.0,PC,cpu0
2023-11-08 12:37:38.853764+01:00,0.0,PC,cpu0
2023-11-08 12:37:44.854779+01:00,1.6,PC,cpu0
2023-11-08 12:37:50.857911+01:00,0.0,PC,cpu0
2023-11-08 12:37:56.862631+01:00,0.0,PC,cpu0
2023-11-08 12:38:02.864601+01:00,1.5,PC,cpu0
2023-11-08 12:38:08.874142+01:00,0.0,PC,cpu0
2023-11-08 12:38:14.872275+01:00,0.0,PC,cpu0
2023-11-08 12:38:20.876812+01:00,3.1,PC,cpu0
2023-11-08 12:38:26.880983+01:00,0.0,PC,cpu0
2023-11-08 12:38:32.884574+01:00,0.0,PC,cpu0
2023-11-08 12:38:38.891044+01:00,0.0,PC,cpu0
2023-11-08 12:38:44.885103+01:00,0.0,PC,cpu0
2023-11-08 12:38:50.887019+01:00,0.0,PC,cpu0
2023-11-08 12:38:56.892279+01:00,0.0,PC,cpu0
2023-11-08 12:39:02.893315+01:00,0.0,PC,cpu0
2023-11-08 12:39:08.900400+01:00,0.0,PC,cpu0
2023-11-08 12:39:14.901074+01:00,3.0,PC,cpu0
2023-11-08 12:39:20.903482+01:00,0.0,PC,cpu0
2023-11-08 12:39:26.907123+01:00,3.0,PC,cpu0
2023-11-08 12:39:32.909083+01:00,0.0,PC,cpu0
2023-11-08 12:39:38.909938+01:00,0.0,PC,cpu0
2023-11-08 12:39:44.910713+01:00,0.0,PC,cpu0
2023-11-08 12:39:50.967062+01:00,0.0,PC,cpu0
2023-11-08 12:39:56.920082+01:00,0.0,PC,cpu0
2023-11-08 12:40:02.977199+01:00,0.0,PC,cpu0
2023-11-08 12:40:08.928328+01:00,3.1,PC,cpu0
2023-11-08 12:40:14.927366+01:00,0.0,PC,cpu0
2023-11-08 12:40:20.925895+01:00,3.1,PC,cpu0
2023-11-08 12:40:26.930766+01:00,0.0,PC,cpu0
2023-11-08 12:40:32.987192+01:00,0.0,PC,cpu0
2023-11-08 12:40:38.934881+01:00,0.0,PC,cpu0
2023-11-08 12:40:44.935919+01:00,0.0,PC,cpu0
2023-11-08 12:40:50.935147+01:00,0.0,PC,cpu0
2023-11-08 12:40:56.936310+01:00,1.6,PC,cpu0
2023-11-08 12:41:02.938256+01:00,0.0,PC,cpu0
2023-11-08 12:41:08.939375+01:00,1.6,PC,cpu0
2023-11-08 12:41:14.941030+01:00,0.0,PC,cpu0
2023-11-08 12:41:20.942583+01:00,0.0,PC,cpu0
2023-11-08 12:41:26.943617+01:00,0.0,PC,cpu0
2023-11-08 12:41:32.945102+01:00,15.6,PC,cpu0
2023-11-08 12:41:38.948123+01:00,0.0,PC,cpu0
2023-11-08 12:41:44.948351+01:00,0.0,PC,cpu0
2023-11-08 12:41:50.949169+01:00,0.0,PC,cpu0
2023-11-08 12:41:56.950368+01:00,0.0,PC,cpu0
2023-11-08 12:42:02.956076+01:00,0.0,PC,cpu0
2023-11-08 12:42:08.956027+01:00,0.0,PC,cpu0
2023-11-08 12:42:14.963854+01:00,0.0,PC,cpu0
2023-11-08 12:42:20.968132+01:00,0.0,PC,cpu0
2023-11-08 12:42:26.965754+01:00,0.0,PC,cpu0
2023-11-08 12:42:32.966652+01:00,0.0,PC,cpu0
2023-11-08 12:42:38.967234+01:00,0.0,PC,cpu0
2023-11-08 12:42:44.968184+01:00,0.0,PC,cpu0
2023-11-08 12:42:50.969366+01:00,0.0,PC,cpu0
2023-11-08 12:42:56.970825+01:00,1.5,PC,cpu0
2023-11-08 12:43:02.972297+01:00,0.0,PC,cpu0
2023-11-08 12:43:08.973314+01:00,0.0,PC,cpu0
2023-11-08 12:43:14.974663+01:00,0.0,PC,cpu0
2023-11-08 12:43:20.975965+01:00,0.0,PC,cpu0
